Year,GLOBAL_TEMP_F,Tornadoes,Cyclone Strength,Total hurricanes
1980,32.612,889,2.8708,5.6
1981,32.594,789,2.2747,5.2
1982,32.342,964,1.4132,5.2
1983,32.612,935,1.1123,4.8
1984,32.432,949,1.3397,4.2
1985,32.252,730,1.4556,4.4
1986,32.396,757,1.4057,4.8
1987,32.54,634,1.7075,5.2
1988,32.756,612,2.3569,5.4
1989,32.486,928,2.6223,5.4
1990,32.756,1143,2.2292,5.6
1991,32.792,1177,1.6827,5.4
1992,32.522,1143,1.3428,4.6
1993,32.45,1297,1.5155,5.2
1994,32.486,1068,2.4098,6.2
1995,32.882,1162,3.3501,6
1996,32.666,1205,3.654,7.2
1997,32.738,1149,3.5959,8.2
1998,33.188,1448,3.7471,7.6
1999,32.792,1421,3.8891,7.6
2000,32.774,972,3.3709,7.8
2001,32.864,1101,2.7995,7.2
2002,33.152,934,3.231,7.4
2003,33.08,1555,4.5551,8.8
2004,33.044,1640,5.5545,8
2005,33.188,1322,5.1439,8.4
2006,33.188,1140,3.8943,8.6
2007,33.242,1148,2.9178,7.4
2008,32.936,1722,2.6936,6.8
2009,33.17,1122,2.911,7.2
2010,33.35,1195,3.0732,8
2011,33.134,1802,2.9344,6.8
2012,33.134,923,2.342,7.4
2013,33.206,844,1.7643,5.8
2014,33.35,929,1.7555,5.8
2015,33.494,1071,2.6053,5.8
2016,33.944,1109,3.8005,7
2017,33.674,1389,4.53,7
2018,33.548,983,4.4843,9
2019,33.71,1651,4.157,9
2020,33.872,1150,4.0068,8.6
